year,january,february,march,april,may,june,july,august,september,october,november,december,year_avg
1950,12.02250234,12.2633658,12.92298898,13.85752414,14.80354153,15.50767367,15.77721341,15.535089,14.85357517,13.91428731,12.97117462,12.27914551,13.90128899
1951,12.02244943,12.25928869,12.91593089,13.84924404,14.79627773,15.50337075,15.77703455,15.53914128,14.86070268,13.9225633,12.97838356,12.28333864,13.90128746
1952,12.02243299,12.26432076,12.93646887,13.87327867,14.81731188,15.51577341,15.77745299,15.52729213,14.83996449,13.8985421,12.95751,12.27125535,13.89626925
1953,12.02258142,12.26707243,12.92937478,13.86499714,14.8100816,15.51152998,15.77734352,15.53140479,14.84712712,13.90681848,12.96468448,12.2753885,13.90129034
1954,12.02249558,12.26296663,12.92229955,13.85671628,14.80283363,15.50725525,15.77719757,15.53548575,14.85427135,13.91509474,12.97187714,12.27955321,13.90128884
1955,12.02244622,12.25889263,12.91524332,13.84843627,14.79556813,15.50294928,15.77701515,15.53953492,14.86139704,13.9233707,12.97908783,12.28374941,13.90128731
1956,12.02243334,12.26392203,12.93577594,13.87247069,14.81660727,15.5153608,15.77744391,15.52769476,14.84066409,13.89934955,12.95820915,12.27165719,13.89626968
1957,12.02257144,12.26667047,12.92868368,13.86418922,14.80937526,15.51111431,15.77733088,15.53180433,14.84782493,13.90762593,12.96538541,12.27579342,13.9012902
1958,12.02248915,12.26256776,12.9216103,13.85590844,14.80212557,15.50683653,15.77718138,15.53588219,14.85496736,13.91590216,12.97257983,12.27996121,13.90128869
1959,12.02244335,12.25849688,12.91455593,13.84762852,14.79485836,15.50252752,15.7769954,15.53992826,14.86209124,13.92417809,12.97979227,12.28416047,13.90128716
1960,12.02243404,12.26352359,12.93508318,13.87166271,14.81590249,15.51494789,15.77743449,15.52809709,14.84136351,13.900157,12.95890847,12.27205934,13.8962701
1961,12.0225618,12.26626881,12.92799276,13.8633813,14.80866875,15.51069835,15.7773179,15.53220357,14.84852257,13.90843338,12.96608651,12.27619865,13.90129005
1962,12.02248308,12.2621692,12.92092123,13.8551006,14.80141735,15.50641751,15.77716484,15.53627833,14.85566319,13.91670959,12.97328269,12.28036951,13.90128854
1963,12.02244084,12.25810142,12.91386872,13.84682077,14.79414843,15.50210546,15.7769753,15.54032129,14.86278525,13.92498547,12.98049688,12.28457184,13.90128701
1964,12.02243508,12.26312547,12.93439061,13.87085474,14.81519754,15.51453468,15.77742472,15.52849911,14.84206276,13.90096446,12.95960796,12.27246178,13.89627053
1965,12.02255252,12.26586745,12.92730202,13.86257339,14.80796207,15.51028208,15.77730458,15.5326025,14.84922003,13.90924082,12.96678778,12.27660417,13.90128991
1966,12.02247735,12.26177094,12.92023234,13.85429277,14.80070895,15.50599819,15.77714795,15.53667416,14.85635885,13.91751701,12.97398572,12.28077811,13.9012884
1967,12.02243867,12.25770627,12.91318169,13.84601303,14.79343834,15.5016831,15.77695485,15.54071402,14.86347908,13.92579285,12.98120167,12.28498351,13.90128686
1968,12.02243647,12.26272764,12.93369821,13.87004678,14.81449242,15.51412117,15.77741461,15.52890084,14.84276184,13.90177191,12.96030763,12.27286452,13.89627096
1969,12.02254358,12.26546639,12.92661146,13.86176549,14.80725522,15.50986552,15.7772909,15.53300113,14.84991731,13.91004827,12.96748922,12.27701,13.90128976
1970,12.02247197,12.26137299,12.91954363,13.85348495,14.80000039,15.50557858,15.77713072,15.5370697,14.85705433,13.91832442,12.97468893,12.28118701,13.90128825
1971,12.02243685,12.25731143,12.91249485,13.84520531,14.79272808,15.50126045,15.77693406,15.54110645,14.86417274,13.92660023,12.98190662,12.28539547,13.90128671
1972,12.02243821,12.26233012,12.93300599,13.86923882,14.81378713,15.51370736,15.77740414,15.52930226,14.84346074,13.90257937,12.96100747,12.27326757,13.89627139
1973,12.02253499,12.26506563,12.92592108,13.8609576,14.80654821,15.50944865,15.77727688,15.53339946,14.85061442,13.91085571,12.96819083,12.27741612,13.90128961
1974,12.02246694,12.26097534,12.9188551,13.85267714,14.79929167,15.50515867,15.77711314,15.53746493,14.85774963,13.91913184,12.9753923,12.28159621,13.9012881
1975,12.02243538,12.25691688,12.91180819,13.84439759,14.79201765,15.5008375,15.77691292,15.54149858,14.86486622,13.9274076,12.98261174,12.28580773,13.90128656
1976,12.0224403,12.26193289,12.93231395,13.86843087,14.81308167,15.51329326,15.77739333,15.52970338,14.84415947,13.90338682,12.96170748,12.27367092,13.89627183
1977,12.02252674,12.26466518,12.92523088,13.86014971,14.80584102,15.50903149,15.77726251,15.53379749,14.85131135,13.91166315,12.96889262,12.27782255,13.90128947
1978,12.02246226,12.26057799,12.91816676,13.85186933,14.79858277,15.50473846,15.77709521,15.53785986,14.85844475,13.91993925,12.97609585,12.2820057,13.90128795
1979,12.02243425,12.25652265,12.91112171,13.84358989,14.79130706,15.50041425,15.77689144,15.5418904,14.86555952,13.92821496,12.98331703,12.2862203,13.90128641
1980,12.02244273,12.26153598,12.93162209,13.86762292,14.81237605,15.51287885,15.77738218,15.53010421,14.84485803,13.90419427,12.96240767,12.27407457,13.89627226
1981,12.02251884,12.26426503,12.92454086,13.85934184,14.80513368,15.50861404,15.77724779,15.53419522,14.85200811,13.91247058,12.96959458,12.27822928,13.90128932
1982,12.02245792,12.26018094,12.91747859,13.85106154,14.79787372,15.50431796,15.77707694,15.53825448,14.8591397,13.92074665,12.97679957,12.2824155,13.9012878
1983,12.02243347,12.25612871,12.91043541,13.84278219,14.79059631,15.49999071,15.7768696,15.54228191,14.86625264,13.92902232,12.98402249,12.28663316,13.90128626
1984,12.02244551,12.26113936,12.93093041,13.86681498,14.81167025,15.51246415,15.77737067,15.53050472,14.84555641,13.90500172,12.96310804,12.27447851,13.89627269
1985,12.02251129,12.26386518,12.92385103,13.85853396,14.80442616,15.50819628,15.77723273,15.53459265,14.85270469,13.91327802,12.97029671,12.2786363,13.90128917
1986,12.02245393,12.2597842,12.91679061,13.85025375,14.79716449,15.50389716,15.77705831,15.5386488,14.85983446,13.92155406,12.97750346,12.2828256,13.90128765
1987,12.02243304,12.25573508,12.9097493,13.84197451,14.78988539,15.49956688,15.77684742,15.54267312,14.86694559,13.92982968,12.98472813,12.28704631,13.9012861
1988,12.02244864,12.26074305,12.93023891,13.86600705,14.81096429,15.51204915,15.77735882,15.53090494,14.84625461,13.90580917,12.96380857,12.27488276,13.89627312
1989,12.02250409,12.26346564,12.92316137,13.8577261,14.80371847,15.50777823,15.77721732,15.53498977,14.8534011,13.91408545,12.97099902,12.27904363,13.90128903
1990,12.02245028,12.25938776,12.91610281,13.84944598,14.7964551,15.50347607,15.77703934,15.53904282,14.86052906,13.92236146,12.97820752,12.28323599,13.9012875
1991,12.02243296,12.25534176,12.90906337,13.84116684,14.7891743,15.49914275,15.7768249,15.54306403,14.86763835,13.93063703,12.98543393,12.28745977,13.90128595
1992,12.02245211,12.26034704,12.92954758,13.86519912,14.81025816,15.51163386,15.77734662,15.53130486,14.84695264,13.90661662,12.96450928,12.27528731,13.89627356
1993,12.02249724,12.26306639,12.92247189,13.85691825,14.80301062,15.50735988,15.77720156,15.53538659,14.85409732,13.91489288,12.97170149,12.27945125,13.90128888
1994,12.02244699,12.25899162,12.91541519,13.84863821,14.79574554,15.50305467,15.77702003,15.53943654,14.86122347,13.92316885,12.97891175,12.28364669,13.90128735
1995,12.02243322,12.25494873,12.90837763,13.84035917,14.78846306,15.49871832,15.77680202,15.54345464,14.86833094,13.93144437,12.98613989,12.28787353,13.9012858
1996,12.02245593,12.25995134,12.92885644,13.86439119,14.80955186,15.51121826,15.77733407,15.53170447,14.8476505,13.90742407,12.96521016,12.27569216,13.89627399
1997,12.02249073,12.26266745,12.92178259,13.8561104,14.8023026,15.50694123,15.77718546,15.53578311,14.85479338,13.91570031,12.97240414,12.27985918,13.90128873
1998,12.02244404,12.25859579,12.91472776,13.84783045,14.79503582,15.50263298,15.77700037,15.53982995,14.8619177,13.92397624,12.97961615,12.28405768,13.9012872
1999,12.02243383,12.25455602,12.90769206,13.83955152,14.78775164,15.49829359,15.7767788,15.54384494,14.86902334,13.93225171,12.98684603,12.28828758,13.90128565
2000,12.0224601,12.25955593,12.92816547,13.86358328,14.80884539,15.51080237,15.77732118,15.53210378,14.84834818,13.90823152,12.96591122,12.27609731,13.89627443
2001,12.02248457,12.26226882,12.92109348,13.85530256,14.80159442,15.50652229,15.77716901,15.53617932,14.85548925,13.91650773,12.97310696,12.28026741,13.90128858
2002,12.02244143,12.25820026,12.9140405,13.84702271,14.79432593,15.502211,15.77698035,15.54022306,14.86261176,13.92478363,12.98032072,12.28446897,13.90128705
2003,12.02243479,12.2541636,12.90700668,13.83874388,14.78704007,15.49786857,15.77675523,15.54423494,14.86971557,13.93305904,12.98755234,12.28870193,13.90128549
2004,12.02246462,12.25916084,12.92747469,13.86277537,14.80813875,15.51038617,15.77730794,15.53250279,14.84904568,13.90903896,12.96661244,12.27650276,13.89627486
2005,12.02247875,12.26187048,12.92040454,13.85449473,14.80088607,15.50610305,15.77715221,15.53657523,14.85618495,13.91731515,12.97380995,12.28067593,13.90128843
2006,12.02243918,12.25780503,12.91335343,13.84621497,14.79361588,15.50178872,15.77696,15.54061587,14.86330564,13.92559101,12.98102546,12.28488056,13.9012869
2007,12.02243609,12.25377149,12.90632149,13.83793625,14.78632832,15.49744326,15.77673132,15.54462463,14.87040762,13.93386636,12.98825882,12.28911658,13.90128534
2008,12.02246948,12.25876604,12.92678409,13.86196747,14.80743195,15.50996968,15.77729435,15.5329015,14.84974301,13.90984641,12.96731384,12.27690851,13.8962753
2009,12.02247329,12.26147245,12.91971579,13.8536869,14.80017755,15.50568351,15.77713506,15.53697084,14.85688047,13.91812257,12.97451311,12.28108475,13.90128828
2010,12.02243727,12.25741011,12.91266654,13.84540724,14.79290566,15.50136614,15.77693929,15.54100837,14.86399934,13.92639838,12.98173037,12.28529245,13.90128675
2011,12.02243774,12.25337969,12.90563648,13.83712864,14.78561642,15.49701765,15.77670705,15.54501402,14.87109949,13.93467368,12.98896546,12.28953153,13.90128519
2012,12.02247469,12.25837155,12.92609366,13.86115957,14.80672498,15.5095529,15.77728042,15.53329991,14.85044016,13.91065385,12.96801541,12.27731456,13.89627574
2013,12.02246817,12.26107472,12.91902722,13.85287909,14.79946886,15.50526368,15.77711757,15.53736615,14.85757582,13.91892998,12.97521645,12.28149388,13.90128814
2014,12.02243571,12.25701549,12.91197983,13.84459952,14.79219528,15.50094326,15.77691824,15.54140057,14.86469287,13.92720575,12.98243544,12.28570464,13.9012866
2015,12.02243974,12.25298819,12.90495165,13.83632103,14.78490435,15.49659174,15.77668244,15.5454031,14.87179117,13.935481,12.98967227,12.28994677,13.90128503
2016,12.02248025,12.25797736,12.92540342,13.86035169,14.80601784,15.50913581,15.77726614,15.53369801,14.85113714,13.91146129,12.96871716,12.27772092,13.89627618
2017,12.02246339,12.26067729,12.91833883,13.85207128,14.79876001,15.50484354,15.77709973,15.53776115,14.85827098,13.9197374,12.97591995,12.2819033,13.90128799
2018,12.0224345,12.25662118,12.91129331,13.84379181,14.79148473,15.50052009,15.77689684,15.54179247,14.86538621,13.92801312,12.98314069,12.28611713,13.90128644
2019,12.02244209,12.25259699,12.90426701,13.83551344,14.78419212,15.49616554,15.77665749,15.54579188,14.87248268,13.9362883,12.99037926,12.29036231,13.90128488
2020,12.02248616,12.25758348,12.92471335,13.8595438,14.80531053,15.50871843,15.77725151,15.53409582,14.85183394,13.91226872,12.96941908,12.27812757,13.89627662
2021,12.02245897,12.26028017,12.91765062,13.85126349,14.798051,15.50442312,15.77708154,15.53815585,14.85896598,13.9205448,12.97662362,12.28231302,13.90128784
2022,12.02243363,12.25622717,12.91060697,13.84298412,14.79077401,15.50009663,15.7768751,15.54218406,14.86607938,13.92882048,12.98384611,12.28652991,13.90128629
2023,12.02244478,12.2522061,12.90358255,13.83470585,14.78347972,15.49573905,15.77663218,15.54618036,14.87317401,13.9370956,12.9910864,12.29077815,13.90128472
2024,12.02249241,12.2571899,12.92402347,13.85873593,14.80460305,15.50830075,15.77723653,15.53449332,14.85253056,13.91307616,12.97012116,12.27853452,13.89627706
2025,12.02245489,12.25988335,12.91696259,13.8504557,14.79734181,15.50400239,15.777063,15.53855025,14.85966079,13.92135221,12.97732747,12.28272304,13.90128769
2026,12.02243312,12.25583346,12.90992081,13.84217643,14.79006313,15.49967286,15.776853,15.54257535,14.86677237,13.92962784,12.9845517,12.286943,13.90128614
2027,12.02244782,12.25181552,12.90289827,13.83389828,14.78276716,15.49531226,15.77660653,15.54656853,14.87386516,13.93790289,12.99179372,12.29119429,13.90128457
2028,12.02249901,12.25679662,12.92333377,13.85792807,14.80389541,15.50788277,15.77722121,15.53489052,14.85322701,13.91388359,12.97082343,12.27894177,13.8962775
2029,12.02245116,12.25948684,12.91627474,13.84964792,14.79663246,15.50358137,15.77704412,15.53894435,14.86035542,13.92215961,12.97803149,12.28313337,13.90128754
2030,12.02243294,12.25544006,12.90923484,13.84136875,14.78935209,15.49924881,15.77683056,15.54296633,14.86746518,13.93043519,12.98525746,12.28735638,13.90128599
2031,12.02245121,12.25142523,12.90221418,13.83309073,14.78205444,15.49488517,15.77658053,15.5469564,14.87455613,13.93871018,12.99250121,12.29161073,13.90128441
2032,12.02250596,12.25640365,12.92264424,13.85712021,14.8031876,15.5074645,15.77720553,15.53528741,14.85392328,13.91469102,12.97152586,12.27934932,13.89627794
2033,12.02244778,12.25909063,12.91558708,13.84884015,14.79592295,15.50316005,15.77702489,15.53933814,14.86104988,13.922967,12.97873567,12.28354398,13.90128739
2034,12.02243312,12.25504696,12.90854904,13.84056109,14.78864088,15.49882445,15.77680777,15.54335702,14.86815781,13.93124253,12.98596339,12.28777006,13.90128584
2035,12.02245495,12.25103526,12.90153027,13.83228318,14.78134155,15.49445779,15.77655419,15.54734396,14.87524692,13.93951746,12.99320886,12.29202746,13.90128426
2036,12.02251325,12.25601098,12.9219549,13.85631236,14.80247962,15.50704592,15.77718952,15.535684,14.85461938,13.91549845,12.97222846,12.27975717,13.89627838
2037,12.02244474,12.25869472,12.9148996,13.84803239,14.79521327,15.50273843,15.77700531,15.53973163,14.86174416,13.92377439,12.97944003,12.2839549,13.90128724
2038,12.02243364,12.25465417,12.90786344,13.83975343,14.78792951,15.4983998,15.77678464,15.54374739,14.86885026,13.93204987,12.98666948,12.28818404,13.90128568
2039,12.02245903,12.25064559,12.90084655,13.83147565,14.7806285,15.49403011,15.7765275,15.54773122,14.87593753,13.94032473,12.99391668,12.29244449,13.9012841
2040,12.02252089,12.25561861,12.92126574,13.85550452,14.80177148,15.50662705,15.77717315,15.53608029,14.8553153,13.91630588,12.97293124,12.28016532,13.89627882
2041,12.02244205,12.25829911,12.9142123,13.84722464,14.79450342,15.50231652,15.77698539,15.54012481,14.86243827,13.92458178,12.98014456,12.28436612,13.90128709
2042,12.02243451,12.25426168,12.90717801,13.83894579,14.78721798,15.49797486,15.77676116,15.54413747,14.86954253,13.93285721,12.98737575,12.28859831,13.90128553
2043,12.02246346,12.25025622,12.90016302,13.83066813,14.77991529,15.49360214,15.77650046,15.54811817,14.87662795,13.94113199,12.99462467,12.29286182,13.90128395
2044,12.02252888,12.25522655,12.92057676,13.85469668,14.80106317,15.50620789,15.77715644,15.53647628,14.85601104,13.9171133,12.97363419,12.28057377,13.89627926
2045,12.02243971,12.25790381,12.91352518,13.8464169,14.79379341,15.50189431,15.77696512,15.5405177,14.86313219,13.92538916,12.98084925,12.28477764,13.90128694
2046,12.02243573,12.25386949,12.90649277,13.83813816,14.78650628,15.49754962,15.77673733,15.54452723,14.87023462,13.93366453,12.98808218,12.28901289,13.90128538
2047,12.02246823,12.24986716,12.89947966,13.82986062,14.77920192,15.49317388,15.77647307,15.54850482,14.8773182,13.94193925,12.99533283,12.29327944,13.90128379
2048,12.02253722,12.25483479,12.91988796,13.85388886,14.80035469,15.50578842,15.77713938,15.53687197,14.85670661,13.91792072,12.97433731,12.28098252,13.89627971
2049,12.02243772,12.25750881,12.91283825,13.84560917,14.79308323,15.50147181,15.7769445,15.54091028,14.86382594,13.92619654,12.98155412,12.28518945,13.90128679
2050,12.0224373,12.25347761,12.90580771,13.83733054,14.78579441,15.49712408,15.77671315,15.5449167,14.87092654,13.93447185,12.98878878,12.28942776,13.90128522
2051,12.02247336,12.2494784,12.8987965,13.82905313,14.77848838,15.49274532,15.77644534,15.54889116,14.87800827,13.9427465,12.99604115,12.29369736,13.90128364
2052,12.0225459,12.25444334,12.91919934,13.85308104,14.79964605,15.50536866,15.77712197,15.53726735,14.857402,13.91872813,12.9750406,12.28139157,13.89628015
2053,12.02243607,12.25711412,12.91215149,13.84480145,14.79237289,15.50104901,15.77692354,15.54130255,14.8645195,13.92700391,12.98225916,12.28560157,13.90128663
2054,12.02243921,12.25308603,12.90512284,13.83652293,14.78508238,15.49669825,15.77668863,15.54530586,14.87161827,13.93527917,12.98949555,12.28984293,13.90128507
2055,12.02247883,12.24908995,12.89811352,13.82824565,14.77777468,15.49231646,15.77641726,15.5492772,14.87869815,13.94355374,12.99674964,12.29411558,13.90128348
2056,12.02255493,12.25405219,12.91851091,13.85227323,14.79893724,15.5049486,15.77710422,15.53766243,14.85809721,13.91953554,12.97574406,12.28180092,13.8962806
2057,12.02243477,12.25671973,12.91146492,13.84399374,14.79166238,15.50062591,15.77690222,15.54169452,14.86521289,13.92781128,12.98296437,12.28601398,13.90128648
2058,12.02244147,12.25269476,12.90443815,13.83571533,14.78437019,15.49627212,15.77666376,15.54569472,14.87230982,13.93608648,12.99020249,12.2902584,13.90128492
2059,12.02248465,12.24870181,12.89743072,13.82743818,14.77706082,15.49188731,15.77638883,15.54966293,14.87938786,13.94436097,12.9974583,12.2945341,13.90128333
2060,12.02256431,12.25366135,12.91782265,13.85146544,14.79822827,15.50452825,15.77708612,15.53805721,14.85879224,13.92034295,12.97644769,12.28221056,13.89628104
2061,12.02243382,12.25632564,12.91077854,13.84318604,14.79095171,15.50020252,15.77688056,15.54208619,14.8659061,13.92861864,12.98366974,12.28642669,13.90128633
2062,12.02244408,12.2523038,12.90375364,13.83490775,14.78365784,15.4958457,15.77663854,15.54608327,14.8730012,13.93689378,12.9909096,12.29067416,13.90128476
2063,12.02249082,12.24831397,12.89674811,13.82663072,14.7763468,15.49145787,15.77636006,15.55004836,14.88007738,13.9451682,12.99816712,12.29495291,13.90128317
2064,12.02257404,12.25327081,12.91713458,13.85065765,14.79751912,15.5041076,15.77706767,15.53845168,14.8594871,13.92115036,12.97715149,12.28262051,13.89628149
2065,12.02243321,12.25593186,12.91009233,13.84237835,14.79024087,15.49977883,15.77685856,15.54247756,14.86659914,13.929426,12.98437529,12.2868397,13.90128618
2066,12.02244703,12.25191313,12.90306932,13.83410018,14.78294532,15.49541898,15.77661298,15.54647152,14.87369239,13.93770107,12.99161688,12.29109023,13.90128461
2067,12.02249733,12.24792643,12.89606568,13.82582328,14.77563261,15.49102813,15.77633093,15.55043348,14.88076672,13.94597541,12.99887612,12.29537202,13.90128301
2068,12.02258411,12.25288058,12.91644669,13.84984986,14.79680982,15.50368665,15.77704887,15.53884585,14.86018178,13.92195776,12.97785547,12.28303076,13.89628194
2069,12.02243295,12.25553838,12.90940631,13.84157067,14.78952987,15.49935485,15.7768362,15.54286862,14.86729199,13.93023335,12.985081,12.287253,13.90128603
2070,12.02245033,12.25152278,12.90238519,13.83329262,14.78223264,15.49499197,15.77658707,15.54685946,14.8743834,13.93850836,12.99232432,12.29150659,13.90128445
2071,12.02250419,12.2475392,12.89538344,13.82501585,14.77491826,15.4905981,15.77630147,15.5508183,14.88145589,13.94678262,12.99958527,12.29579143,13.90128285
2072,12.02259453,12.25249065,12.91575898,13.84904209,14.79610034,15.50326541,15.77702973,15.53923972,14.86087628,13.92276515,12.97855961,12.2834413,13.89628239
2073,12.02243304,12.25514521,12.90872048,13.840763,14.7888187,15.49893057,15.7768135,15.54325937,14.86798467,13.9310407,12.98578689,12.28766661,13.90128587
2074,12.02245398,12.25113272,12.90170123,13.83248507,14.78151979,15.49456466,15.77656081,15.5472471,14.87507424,13.93931564,12.99303193,12.29192325,13.9012843
2075,12.0225114,12.24715228,12.89470139,13.82420844,14.77420375,15.49016777,15.77627165,15.55120281,14.88214486,13.94758982,13.0002946,12.29621113,13.9012827
2076,12.0226053,12.25210102,12.91507145,13.84823433,14.7953907,15.50284387,15.77701024,15.53963329,14.86157061,13.92357255,12.97926392,12.28385215,13.89628283
2077,12.02243348,12.25475234,12.90803482,13.83995535,14.78810737,15.49850599,15.77679046,15.54364983,14.86867716,13.93184804,12.98649294,12.28808051,13.90128572
2078,12.02245797,12.25074298,12.90101747,13.83167753,14.78080678,15.49413706,15.7765342,15.54763443,14.87576489,13.94012291,12.99373971,12.2923402,13.90128414
2079,12.02251895,12.24676566,12.89401952,13.82340104,14.77348908,15.48973715,15.77624149,15.55158702,14.88283366,13.94839701,13.00100409,12.29663113,13.90128254
2080,12.02261641,12.2517117,12.91438411,13.84742658,14.7946809,15.50242203,15.7769904,15.54002655,14.86226476,13.92437993,12.97996841,12.28426329,13.89628328
2081,12.02243426,12.25435977,12.90734935,13.8391477,14.78739588,15.49808112,15.77676706,15.54403998,14.86936948,13.93265537,12.98719917,12.28849472,13.90128557
2082,12.02246232,12.25035353,12.90033388,13.83087001,14.78009361,15.49370916,15.77650725,15.54802146,14.87645536,13.94093018,12.99444766,12.29275746,13.90128399
2083,12.02252685,12.24637935,12.89333784,13.82259366,14.77277425,15.48930623,15.77621098,15.55197092,14.88352228,13.94920419,13.00171375,12.29705143,13.90128238
2084,12.02262787,12.25132269,12.91369694,13.84661884,14.79397093,15.50199989,15.77697022,15.5404195,14.86295873,13.92518732,12.98067306,12.28467473,13.89628373
2085,12.02243539,12.25396751,12.90666406,13.83834007,14.78668422,15.49765595,15.77674332,15.54442982,14.87006162,13.9334627,12.98790556,12.28890922,13.90128542
2086,12.02246701,12.2499644,12.89965048,13.8300625,14.77938028,15.49328097,15.77647995,15.54840818,14.87714566,13.94173744,12.99515577,12.29317501,13.90128383
2087,12.0225351,12.24599334,12.89265634,13.82178628,14.77205925,15.48887503,15.77618012,15.55235452,14.88421071,13.95001136,13.00242357,12.29747202,13.90128222
2088,12.02263968,12.25093398,12.91300996,13.8458111,14.79326079,15.50157746,15.77694969,15.54081216,14.86365252,13.9259947,12.98137789,12.28508647,13.89628418
2089,12.02243687,12.25357555,12.90597896,13.83753244,14.78597239,15.49723049,15.77671923,15.54481936,14.87075357,13.93427002,12.98861212,12.28932401,13.90128526
2090,12.02247205,12.24957556,12.89896727,13.829255,14.77866678,15.49285248,15.7764523,15.5487946,14.87783577,13.94254469,12.99586405,12.29359286,13.90128368
2091,12.0225437,12.24560764,12.89197503,13.82097893,14.7713441,15.48844352,15.77614892,15.55273781,14.88489896,13.95081852,13.00313356,12.29789291,13.90128207
2092,12.02265184,12.25054557,12.91232316,13.84500338,14.79255049,15.50115474,15.77692881,15.54120451,14.86434613,13.92680207,12.98208288,12.28549851,13.89628464
2093,12.0224387,12.2531839,12.90529404,13.83672483,14.78526041,15.49680473,15.77669479,15.5452086,14.87144535,13.93507734,12.98931885,12.28973911,13.90128511
2094,12.02247743,12.24918704,12.89828424,13.82844751,14.77795312,15.4924237,15.77642431,15.54918072,14.8785257,13.94335193,12.9965725,12.294011,13.90128352
2095,12.02255264,12.24522225,12.89129391,13.82017159,14.77062878,15.48801173,15.77611737,15.55312079,14.88558703,13.95162568,13.00384372,12.2983141,13.90128191
2096,12.02266434,12.25015747,12.91163655,13.84419567,14.79184002,15.50073172,15.77690758,15.54159656,14.86503956,13.92760944,12.98278805,12.28591085,13.89628509
2097,12.02244087,12.25279255,12.9046093,13.83591723,14.78454825,15.49637868,15.77667001,15.54559753,14.87213695,13.93588465,12.99002574,12.2901545,13.90128495
2098,12.02248316,12.24879881,12.8976014,13.82764004,14.7772393,15.49199463,15.77639597,15.54956653,14.87921545,13.94415916,12.99728112,12.29442944,13.90128336
2099,12.02256193,12.24483716,12.89061298,13.81936426,14.7699133,15.48757964,15.77608547,15.55350347,14.88627492,13.95243282,13.00455404,12.29873558,13.90128175